epoch,accuracy,loss,val_accuracy,val_loss
0,0.58035713,8451.99344809396,0.3035714328289032,27.317336000714985
1,0.59017855,29.617565611430578,0.699999988079071,51.84259251185826
2,0.6169643,17.219309854507447,0.7392857074737549,3.4833977699279783
3,0.6357143,2.9767288991383145,0.824999988079071,0.49027433565684725
4,0.66785717,1.161118459701538,0.7785714268684387,0.4738923719951085
5,0.73303574,0.7007026646818434,0.800000011920929,0.47121726785387313
6,0.75625,0.6367813723427909,0.8428571224212646,0.46152075018201555
7,0.7508929,0.6610314777919224,0.8285714387893677,0.49855706862040927
8,0.78660715,0.5707183292933873,0.8107143044471741,0.4702246120997838
9,0.76607144,0.6391378547464098,0.8500000238418579,0.5402614917073931
10,0.7714286,0.6641649101461683,0.8392857313156128,0.48579583508627755
11,0.7598214,0.6002574639660971,0.8892857432365417,0.4577729787145342
12,0.7892857,0.5379542367798942,0.9178571701049805,0.34147821068763734
13,0.82767856,0.4784641444683075,0.8821428418159485,0.386585533618927
14,0.8044643,0.49926592877932957,0.8892857432365417,0.43850123711994715
15,0.79375,0.5215946955340249,0.8928571343421936,0.4258272545678275
16,0.83214283,0.4626520356961659,0.8785714507102966,0.3384698646409171
17,0.82410717,0.47882493223462785,0.949999988079071,0.49924821513039724
18,0.8526786,0.39589182223592484,0.8785714507102966,0.3575062870979309
19,0.8107143,0.49217191849436076,0.875,0.3948696085384914
20,0.83660716,0.436811078446252,0.8964285850524902,0.30450691069875446
21,0.81607145,0.4930455906050546,0.8857142925262451,0.3433751676763807
22,0.79553574,0.5002031794616154,0.8642857074737549,0.41282392229352677
23,0.78482145,0.5230578771659307,0.9321428537368774,0.43451090965952194
24,0.82589287,0.45979383417538233,0.9392856955528259,0.38203664422035216
25,0.7892857,0.49087352326938083,0.8678571581840515,0.4631909132003784
26,0.79464287,0.49509534665516447,0.8714285492897034,0.37369319541113716
27,0.7821429,0.5122293757540839,0.8821428418159485,0.3581333117825644
28,0.80089283,0.46908347351210455,0.8857142925262451,0.35683110782078337
29,0.8214286,0.45867211648396083,0.8821428418159485,0.34728252291679385
30,0.7830357,0.5101564858640943,0.8857142925262451,0.34100679925509864
31,0.8098214,0.4990672443594251,0.9392856955528259,0.4872764910970415
32,0.8223214,0.46098641668047224,0.9107142686843872,0.36558077931404115
33,0.8116071,0.49077765004975454,0.8857142925262451,0.3414832958153316
34,0.83125,0.46115061214991976,0.8892857432365417,0.3523654571601323
35,0.8205357,0.4387988473687853,0.9071428775787354,0.3366911751883371
36,0.79732144,0.48173309309141976,0.9464285969734192,0.4610428180013384
37,0.83035713,0.4179580637386867,0.9428571462631226,0.39570060542651586
38,0.82946426,0.4298219519002097,0.8821428418159485,0.34297103456088474
39,0.80803573,0.517077603510448,0.8678571581840515,0.4050332852772304
40,0.83035713,0.4442338611398424,0.8892857432365417,0.3384418751512255
41,0.82857144,0.45534910133906775,0.8857142925262451,0.33116429107529777
42,0.83928573,0.4324125042983464,0.9285714030265808,0.3444738047463553
43,0.82946426,0.4809354760817119,0.8821428418159485,0.3639047486441476
44,0.8375,0.42135495373180937,0.9107142686843872,0.3468943791730063
45,0.8348214,0.4107051364013127,0.949999988079071,0.3566607756274087
46,0.82767856,0.43134830508913313,0.8928571343421936,0.2974910489150456
47,0.85535717,0.4067952969244548,0.9428571462631226,0.31435334171567647
48,0.85803574,0.38594162166118623,0.8928571343421936,0.2932351350784302
49,0.8339286,0.43952120329652516,0.8821428418159485,0.32333133220672605
50,0.8517857,0.3992737148489271,0.9428571462631226,0.3024682879447937
51,0.8544643,0.39376738028866903,0.9392856955528259,0.2829100464071546
52,0.88125,0.3546998641320637,0.9107142686843872,0.26973176768847873
53,0.8419643,0.43577994959695,0.9107142686843872,0.2682785715375628
54,0.88035715,0.3461626959698541,0.8892857432365417,0.2931124585015433
55,0.8223214,0.4545833651508604,0.9392856955528259,0.4375526164259229
56,0.7785714,0.5271661392280034,0.9428571462631226,0.519529368196215
57,0.8455357,0.4160815877573831,0.8857142925262451,0.31140962839126585
58,0.8526786,0.40772793761321474,0.9535714387893677,0.34984922068459645
59,0.85982144,0.37579553297587803,0.9321428537368774,0.2663229363305228
